Índice de precios al consumidor. Resultados correspondientes al Gran Buenos Aires,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a mayo de 2017, según capítulos de la canasta",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Nivel general y capítulos,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00
Transporte,100,106.2182,107.053,107.8242,108.1701,108.9656,109.0866,109.9583,110.234,112.3385,114.4659,115.5337,116.6339,117.9173
Transporte público de pasajeros,100,109.0695,109.0198,109.3897,109.6019,109.8486,110.009,112.8566,113.9571,114.1951,114.4374,114.8778,115.1702,115.6626
Adquisición de vehículos,100,100.018,99.6875,99.3842,99.782,100.9836,101.3865,100.2052,99.2401,101.9867,102.7492,102.2783,102.706,104.8726
Funcionamiento y mantenimiento de los vehículos,100,107.6541,109.6261,111.193,111.5941,112.5165,112.469,113.186,113.5939,116.5093,120.4873,122.7267,124.665,125.9787
Comunicaciones,100,102.5046,104.991,109.7149,113.2195,114.2697,113.292,118.0375,124.8793,129.6464,134.9302,138.198,147.6556,147.5849
Esparcimiento,100,101.9762,102.2779,107.3988,106.7232,108.7186,109.5667,110.2999,112.4742,117.767,117.5336,117.8475,120.8102,121.6595
Turismo,100,98.165,97.3301,112.1346,103.5599,105.6829,110.8186,109.798,120.0275,134.8488,132.0659,124.4418,121.5254,115.8492
"Equipos, conexiones, y servicios de audio, televisión y computación",100,101.8083,100.4419,104.4973,103.6485,102.3729,100.2384,101.2772,100.564,104.8201,103.255,104.0886,105.4161,105.9333
"Diarios, libros y revistas",100,103.9852,106.0161,107.539,110.2488,112.7262,114.6152,115.0851,118.0408,121.7313,124.6539,124.842,125.9627,131.802
Educación,100,103.1976,105.4781,108.0229,110.4858,110.8696,112.0311,112.9458,113.708,114.5291,119.1371,125.8157,129.9028,132.1902
Servicios educativos,100,103.4956,105.6655,108.2159,110.0662,110.2795,111.3882,111.9564,112.4984,113.0462,118.0513,125.9238,130.8115,133.3513
Textos y útiles escolares,100,101.9733,104.7082,107.2297,112.2099,113.2946,114.6723,117.0113,118.6783,120.6223,123.5984,125.3718,126.1688,127.4196
Otros bienes y servicios,100,116.0517,117.6834,119.2499,120.3678,123.4188,125.1453,127.4509,128.646,129.7823,134.7491,136.5517,139.5853,141.3542
Cigarrillos y accesorios,100,146.9303,148.8912,148.8902,149.8325,156.329,156.3328,160.2387,160.8179,160.82,172.5498,174.5716,179.4687,181.905
Artículos y servicios para el cuidado personal,100,103.1198,104.3507,106.8471,108.1113,109.7684,111.3374,113.0642,114.6342,116.3343,118.5035,120.2601,122.6716,124.2284
Artículos de tocador y belleza,100,103.8568,104.8039,106.8283,107.7607,109.3577,110.6536,112.3819,113.451,114.8232,116.6491,118.6102,120.8064,122.1971
Servicios diversos,100,99.2504,103.6115,103.0063,103.4145,104.0487,116.4335,116.8569,117.0931,117.8652,118.769,119.9451,120.2144,120.8735
,,,,,,,,,,,,,,
"Fuente: INDEC, Dirección Nacional de Estadísticas de Precios, Dirección de Índices de Precios de Consumo",,,,,,,,,,,,,,
